"FirstName","Surname","Address","SSN ","Phone","TransactionDate","Balance","Status"
"Julee","SMITH ","Fremont ","107-58-3255","+36 55 285 673",28/04/08,12700.85,"Completed"
"Genie","WILLIAMS ","Los Angeles ","251-54-1962","202-555-0126",28/04/08,11613.9,"Pending"
"Beth","JONES ","San Diego ","676-05-8778","202-555-0197",28/04/08,16712.87,"Pending"
"Kenny","JOHNSON ","Aurora ","334-34-8226","+353 20 913 3105",28/04/08,5905.05,"In-service"
"Jospeh","ANDERSON ","Washington ","481-17-7965","+1-613-555-0174",28/04/08,8419.29,"In-service"
"Juliann","MARTIN ","Miami ","011-01-9700","202-555-0190",28/04/08,16840.2,"Pending"
"Brianna","STEWART ","Orlando ","005-46-2461","01632 960946",28/04/08,2804.77,"Completed"
"Laurel","MITCHELL ","Atlanta ","365-30-7218","1900 654 321",28/04/08,11123.58,"Pending"
"Roselyn","COOPER ","Detroit ","574-33-0079","01632 960390",28/04/08,16635.72,"In-service"
"Herbert","CARTER ","Warren ","693-05-3237","020 910 9158",28/04/08,1408.22,"Pending"
"Christeen","RUSSELL ","Casper ","006-01-4178","613-555-0109",28/04/08,19650.74,"Completed"
"Stephanie","COLLINS ","Richmond ","430-55-5912","202-555-0171",28/04/08,930.18,"In-service"
"Alexander","PHILLIPS ","Dallas ","680-12-1257","06 55 935 505",28/04/08,12805.33,"Completed"
"Cameron","PHILLIPS ","Columbia ","522-69-7291","613-555-0109",28/04/08,15038.51,"In-service"
"Edward","ROSS ","Oklahoma City ","428-11-6487","202-555-0195",28/04/08,16384.94,"Completed"
